index,binary_val
0,00000000000000000000100011111100
1,00000000000000000000100011111100
2,00000000000000000000100011111100
3,00000000000000000000100011111100
4,00000000000000000000100011111100
5,00000000000000000000100011111100
6,00000000000000000000100011111100
7,00000000000000000000100011111100
8,00000000000000000000100011111100
9,00000000000000000000100011111100
10,00000000000000000000100011111100
11,00000000000000000000100011111100
12,00000000000000000000100011111100
13,00000000000000000000100011111100
14,00000000000000000000100011111100
15,00000000000000000000100011111100
16,00000000000000000000100011111100
17,00000000000000000000100011111100
18,00000000000000000000100011111100
19,00000000000000000000100011111100
20,00000000000000000000100011111100
21,00000000000000000000100011111100
22,00000000000000000000100011111100
23,00000000000000000000100011111100
24,00000000000000000000100011111100
25,00000000000000000000100011111100
26,00000000000000000000100011111100
27,00000000000000000000100011111100
28,00000000000000000000100011111100
29,00000000000000000000100011111100
30,00000000000000000000100011111100
31,00000000000000000000100011111100
32,00000000000000000000100011111100
33,00000000000000000000100011111100
34,00000000000000000000100011111100
35,00000000000000000000100011111100
36,00000000000000000000100011111100
37,00000000000000000000100011111100
38,00000000000000000000100011111100
39,00000000000000000000100011111100
40,00000000000000000000100011111100
41,00000000000000000000100011111100
42,00000000000000000000100011111100
43,00000000000000000000100011111100
44,00000000000000000000100011111100
45,00000000000000000000100011111100
46,00000000000000000000100011111100
47,00000000000000000000100011111100
48,00000000000000000000100011111100
49,00000000000000000000100011111100
50,00000000000000000000100011111100
51,00000000000000000000100011111100
52,00000000000000000000100011111100
53,00000000000000000000100011111100
54,00000000000000000000100011111100
55,00000000000000000000100011111100
56,00000000000000000000100011111100
57,00000000000000000000100011111100
58,00000000000000000000100011111100
59,00000000000000000000100011111100
60,00000000000000000000100011111100
61,00000000000000000000100011111100
62,00000000000000000000100011111100
63,00000000000000000000100011111100
64,00000000000000000000100011111100
65,00000000000000000000100011111100
66,00000000000000000000100011111100
67,00000000000000000000100011111100
68,00000000000000000000100011111100
69,00000000000000000000100011111100
70,00000000000000000000100011111100
71,00000000000000000000100011111100
72,00000000000000000000100011111100
73,00000000000000000000100101100000
74,00000000000000000000100101100000
75,00000000000000000000100101100000
76,00000000000000000000100101100000
77,00000000000000000000100101100000
78,00000000000000000000100101100000
79,00000000000000000000100101100000
80,00000000000000000000100101100000
81,00000000000000000000100101100000
82,00000000000000000000100101100000
83,00000000000000000000100101100000
84,00000000000000000000100101100000
85,00000000000000000000100101100000
86,00000000000000000000100101100000
87,00000000000000000000100101100000
88,00000000000000000000100101100000
89,00000000000000000000100101100000
90,00000000000000000000100101100000
91,00000000000000000000100101100000
92,00000000000000000000100101100000
93,00000000000000000000100101100000
94,00000000000000000000100101100000
95,00000000000000000000100101100000
96,00000000000000000000100101100000
97,00000000000000000000100101100000
98,00000000000000000000100101100000
99,00000000000000000000100101100000
100,00000000000000000000100101100000
101,00000000000000000000100101100000
102,00000000000000000000100101100000
103,00000000000000000000100101100000
104,00000000000000000000100101100000
105,00000000000000000000100101100000
106,00000000000000000000100101100000
107,00000000000000000000100101100000
108,00000000000000000000100101100000
109,00000000000000000000100101100000
110,00000000000000000000100101100000
111,00000000000000000000100101100000
112,00000000000000000000100101100000
113,00000000000000000000100101100000
114,00000000000000000000100101100000
115,00000000000000000000100101100000
116,00000000000000000000100101100000
117,00000000000000000000100101100000
118,00000000000000000000100101100000
119,00000000000000000000100101100000
120,00000000000000000000100101100000
121,00000000000000000000100101100000
122,00000000000000000000100101100000
123,00000000000000000000100101100000
124,00000000000000000000100101100000
125,00000000000000000000100101100000
126,00000000000000000000100101100000
127,00000000000000000000100101100000
128,00000000000000000000100101100000
129,00000000000000000000100101100000
130,00000000000000000000100101100000
131,00000000000000000000100101100000
132,00000000000000000000100101100000
133,00000000000000000000100101100000
134,00000000000000000000100101100000
135,00000000000000000000100111000100
136,00000000000000000000100111000100
137,00000000000000000000100111000100
138,00000000000000000000100111000100
139,00000000000000000000100111000100
140,00000000000000000000100111000100
141,00000000000000000000100111000100
142,00000000000000000000100111000100
143,00000000000000000000100111000100
144,00000000000000000000100111000100
145,00000000000000000000100111000100
146,00000000000000000000100111000100
147,00000000000000000000100111000100
148,00000000000000000000100111000100
149,00000000000000000000100111000100
