index,binary_val
0,00000000000000000000100011010100
1,00000000000000000000100011010100
2,00000000000000000000100011010100
3,00000000000000000000100011010100
4,00000000000000000000100011011110
5,00000000000000000000100011011110
6,00000000000000000000100011010100
7,00000000000000000000100011011110
8,00000000000000000000100011011110
9,00000000000000000000100011011110
10,00000000000000000000100011011110
11,00000000000000000000100011101000
12,00000000000000000000100011101000
13,00000000000000000000100011101000
14,00000000000000000000100011101000
15,00000000000000000000100011101000
16,00000000000000000000100011101000
17,00000000000000000000100011110010
18,00000000000000000000100011110010
19,00000000000000000000100011110010
20,00000000000000000000100011110010
21,00000000000000000000100011110010
22,00000000000000000000100011110010
23,00000000000000000000100011111100
24,00000000000000000000100011111100
25,00000000000000000000100011111100
26,00000000000000000000100011111100
27,00000000000000000000100011111100
28,00000000000000000000100011111100
29,00000000000000000000100100000110
30,00000000000000000000100100000110
31,00000000000000000000100100000110
32,00000000000000000000100100000110
33,00000000000000000000100100000110
34,00000000000000000000100100000110
35,00000000000000000000100100000110
36,00000000000000000000100100000110
37,00000000000000000000100100000110
38,00000000000000000000100100000110
39,00000000000000000000100100000110
40,00000000000000000000100100000110
41,00000000000000000000100100000110
42,00000000000000000000100100010000
43,00000000000000000000100100010000
44,00000000000000000000100100010000
45,00000000000000000000100100010000
46,00000000000000000000100100010000
47,00000000000000000000100100010000
48,00000000000000000000100100010000
49,00000000000000000000100100010000
50,00000000000000000000100100010000
51,00000000000000000000100100010000
52,00000000000000000000100100010000
53,00000000000000000000100100010000
54,00000000000000000000100100010000
55,00000000000000000000100100010000
56,00000000000000000000100100011010
57,00000000000000000000100100011010
58,00000000000000000000100100011010
59,00000000000000000000100100011010
60,00000000000000000000100100011010
61,00000000000000000000100100011010
62,00000000000000000000100100011010
63,00000000000000000000100100011010
64,00000000000000000000100100011010
65,00000000000000000000100100011010
66,00000000000000000000100100011010
67,00000000000000000000100100011010
68,00000000000000000000100100011010
69,00000000000000000000100100011010
70,00000000000000000000100100100100
71,00000000000000000000100100100100
72,00000000000000000000100100100100
73,00000000000000000000100100100100
74,00000000000000000000100100100100
75,00000000000000000000100100100100
76,00000000000000000000100100100100
77,00000000000000000000100100100100
78,00000000000000000000100100100100
79,00000000000000000000100100100100
80,00000000000000000000100100100100
81,00000000000000000000100100100100
82,00000000000000000000100100100100
83,00000000000000000000100100100100
84,00000000000000000000100100100100
85,00000000000000000000100100100100
86,00000000000000000000100100100100
87,00000000000000000000100100101110
88,00000000000000000000100100101110
89,00000000000000000000100100101110
90,00000000000000000000100100111000
91,00000000000000000000100100111000
92,00000000000000000000100100111000
93,00000000000000000000100100111000
94,00000000000000000000100100111000
95,00000000000000000000100100111000
96,00000000000000000000100100111000
97,00000000000000000000100100111000
98,00000000000000000000100100111000
99,00000000000000000000100100111000
100,00000000000000000000100100111000
101,00000000000000000000100100111000
102,00000000000000000000100100111000
103,00000000000000000000100100111000
104,00000000000000000000100100111000
105,00000000000000000000100100111000
106,00000000000000000000100100111000
107,00000000000000000000100100111000
108,00000000000000000000100100111000
109,00000000000000000000100100111000
110,00000000000000000000100100111000
111,00000000000000000000100100111000
112,00000000000000000000100100111000
113,00000000000000000000100100111000
114,00000000000000000000100101000010
115,00000000000000000000100101000010
116,00000000000000000000100101000010
117,00000000000000000000100101000010
118,00000000000000000000100101000010
119,00000000000000000000100101000010
120,00000000000000000000100101000010
121,00000000000000000000100101000010
122,00000000000000000000100101000010
123,00000000000000000000100101000010
124,00000000000000000000100101001100
125,00000000000000000000100101001100
126,00000000000000000000100101001100
127,00000000000000000000100101001100
128,00000000000000000000100101001100
129,00000000000000000000100101010110
130,00000000000000000000100101001100
131,00000000000000000000100101010110
132,00000000000000000000100101010110
133,00000000000000000000100101010110
134,00000000000000000000100101010110
135,00000000000000000000100101010110
136,00000000000000000000100101010110
137,00000000000000000000100101010110
138,00000000000000000000100101010110
139,00000000000000000000100101010110
140,00000000000000000000100101010110
